,ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
120,38.140.198.dgd,2017-06-26,00:00:00,0.0,1158399.0,0001062993-17-003003,exhibit99-1.htm,200.0,5114.0,0.0,0.0,0.0,10.0,0.0,
121,40.114.246.eaj,2017-06-26,00:00:00,0.0,1358706.0,0001172661-17-001035,-index.htm,200.0,7399.0,1.0,0.0,0.0,10.0,0.0,
122,40.114.246.eaj,2017-06-26,00:00:00,0.0,1484148.0,0000950123-17-004380,-index.htm,200.0,7496.0,1.0,0.0,0.0,10.0,0.0,
123,40.114.246.eaj,2017-06-26,00:00:00,0.0,1278951.0,0001278951-17-000004,-index.htm,200.0,7492.0,1.0,0.0,0.0,10.0,0.0,
124,40.114.246.eaj,2017-06-26,00:00:00,0.0,1553733.0,0001172661-17-001119,-index.htm,200.0,7395.0,1.0,0.0,0.0,10.0,0.0,
125,40.114.246.eaj,2017-06-26,00:00:00,0.0,1478982.0,0001085146-16-004698,-index.htm,200.0,7493.0,1.0,0.0,0.0,10.0,0.0,
126,40.77.167.hbc,2017-06-26,00:00:00,0.0,1430592.0,0001193125-17-072348,-index.htm,200.0,2740.0,1.0,0.0,0.0,10.0,0.0,
127,49.44.51.bfb,2017-06-26,00:00:00,0.0,1008946.0,0000898432-04-000439,.txt,200.0,19140.0,0.0,0.0,0.0,10.0,0.0,
128,49.77.226.jca,2017-06-26,00:00:00,0.0,1357204.0,0001357204-17-000029,-index.htm,301.0,679.0,1.0,0.0,0.0,10.0,0.0,
129,49.77.226.jca,2017-06-26,00:00:00,0.0,1357204.0,0001357204-17-000029,-index.htm,206.0,2814.0,1.0,0.0,0.0,10.0,0.0,
130,52.73.130.fhf,2017-06-26,00:00:00,0.0,917520.0,0000917520-04-000026,.txt,200.0,42488.0,0.0,0.0,0.0,10.0,0.0,
131,52.90.157.idh,2017-06-26,00:00:00,0.0,849399.0,9999999997-17-007235,.paper,200.0,1000.0,0.0,0.0,0.0,10.0,0.0,
132,52.90.157.idh,2017-06-26,00:00:00,0.0,849399.0,9999999997-17-007235,-index.htm,200.0,2678.0,1.0,0.0,0.0,10.0,0.0,
133,52.90.157.idh,2017-06-26,00:00:00,0.0,849399.0,9999999997-17-007235,.txt,200.0,1467.0,0.0,0.0,0.0,10.0,0.0,
134,54.158.86.dci,2017-06-26,00:00:00,0.0,1344980.0,0001179110-17-007579,-index.htm,200.0,7542.0,1.0,0.0,0.0,10.0,0.0,
135,54.158.86.dci,2017-06-26,00:00:00,0.0,1344980.0,0001179110-17-007580,-index.htm,200.0,7495.0,1.0,0.0,0.0,10.0,0.0,
136,54.161.162.fec,2017-06-26,00:00:00,0.0,77281.0,0000769993-07-000936,.hdr.sgml,200.0,1075.0,0.0,0.0,0.0,10.0,0.0,
137,54.161.162.fec,2017-06-26,00:00:00,0.0,1415336.0,0001181431-13-053172,.txt,200.0,2275.0,0.0,0.0,0.0,10.0,0.0,
138,54.166.26.aca,2017-06-26,00:00:00,0.0,40934.0,0000950152-02-001663,.hdr.sgml,200.0,1030.0,0.0,0.0,0.0,10.0,0.0,
139,54.166.26.aca,2017-06-26,00:00:00,0.0,1026977.0,0001116679-05-002187,.txt,0.0,18448.0,0.0,0.0,0.0,10.0,0.0,
140,54.173.101.aha,2017-06-26,00:00:00,0.0,932782.0,9999999997-16-026706,.txt,200.0,2066.0,0.0,0.0,0.0,10.0,0.0,
141,54.173.181.ghf,2017-06-26,00:00:00,0.0,1581908.0,0001581908-17-000039,-index.htm,200.0,2916.0,1.0,0.0,0.0,10.0,0.0,
142,54.175.208.fdh,2017-06-26,00:00:00,0.0,67279.0,0001437749-17-011672,-index.htm,200.0,3074.0,1.0,0.0,0.0,10.0,0.0,
143,54.205.178.jhi,2017-06-26,00:00:00,0.0,1114446.0,0001114446-13-004297,.txt,0.0,56476.0,0.0,0.0,0.0,10.0,0.0,
144,54.205.178.jhi,2017-06-26,00:00:00,0.0,1114446.0,0001114446-13-004297,.hdr.sgml,200.0,1015.0,0.0,0.0,0.0,10.0,0.0,
145,54.205.178.jhi,2017-06-26,00:00:00,0.0,832988.0,0001181431-13-053215,.txt,200.0,2142.0,0.0,0.0,0.0,10.0,0.0,
